order_id,customer_id,region,product_category,quantity,unit_price,currency,discount_code,order_date
ORD-44951,CUST-4842,ASEAN,Electronics,16,436.82,USD,,2024-01-22
ORD-94136,CUST-2002,ASEAN,Industrial,9,,USD,,2023-01-03
ORD-88207,CUST-1582,India,Office,37,,INR,,
ORD-71849,CUST-1495,India,Electronics,14,416.66,USD,,2024-09-26
ORD-77967,CUST-2348,India,Industrial,11,29.5,INR,,2024-07-08
ORD-91723,CUST-1577,ASEAN,Home & Kitchen,20,150.2,USD,,2024-04-01
ORD-11353,CUST-4364,Europe,Industrial,11,,USD,,2023-10-20
ORD-41533,CUST-4531,India,Industrial,30,72.43,USD,,8/23/2023
ORD-81078,CUST-3952,Europe,Office,39,254.97,USD,,10/11/2024
ORD-59422,CUST-2930,India,Office,6,393.08,INR,,2024-10-31
ORD-37909,CUST-1013,ASEAN,Electronics,11,418.34,USD,DISC31,2/26/2023
ORD-56553,CUST-1383,India,Home & Kitchen,32,100.25,USD,,02/05/2024
ORD-14920,CUST-2862,Europe ,Home & Kitchen,10,29.87,USD,,8/23/2024
ORD-23721,CUST-2546,Europe,H&K,49,394.38,USD,,2024-01-19
ORD-32505,CUST-3635,Europe,Electronics,9,247.62,EUR,,2023-02-27
ORD-98628,CUST-4020,ASEAN,Electronics,42,306.39,USD,,2024-01-02
ORD-50823,CUST-2467,ASEAN,Electronics,46,377.91,USD,,03/04/2023
ORD-20055,CUST-3053,India,Fashion,9,156.28,USD,DISC68,2023-06-10
ORD-87614,CUST-2498,India,Home & Kitchen,14,431.46,USD,DISC57,2023-04-06
ORD-40400,CUST-3028,India,Fashion,33,391.62,INR,DISC77,2023-02-19
ORD-36544,CUST-3696,India,Fashion,39,33.36,USD,,2024-05-17
ORD-25998,CUST-2198,ASEAN,Industrial,46,440.09,USD,,26/01/2024
ORD-67823,CUST-2651,India,kitchen,45,53.63,USD,DISC42,2024-01-15
ORD-26081,CUST-1143,India,Fashion,2,286.72,USD,,7/17/2024
ORD-55584,CUST-3159,Europe,Electronics,10,363.8,USD,,2023-10-30
ORD-65335,CUST-1387,Europe,Home & Kitchen,7,172.42,USD,,16/03/2024
ORD-14760,CUST-4965,India,Elec.,3,250.94,USD,,2023-03-19
ORD-46548,CUST-1199,Europe,Elec.,36,81.35,USD,DISC24,04/01/2023
ORD-16861,CUST-1956,Europe,Electronics,26,457.8,USD,DISC60,2023-11-18
ORD-40911,CUST-1214,Europe,Home & Kitchen,1,332.26,USD,,2023-04-05
ORD-26093,CUST-1069,Europe,Office,43,,USD,,20/01/2024
ORD-10853,CUST-1499,Europe,Home & Kitchen,6,443.16,EUR,,1/9/2023
ORD-91966,CUST-4978,India,Electronics,45,440.0,USD,,2024-04-17
ORD-11596,CUST-3697,ASEAN,Industrial,24,329.72,USD,,2024-02-23
ORD-71270,CUST-2667,India ,Home & Kitchen,7,318.78,USD,,4/24/2024
ORD-95434,CUST-1884,ASEAN,Office,24,441.57,USD,,2023-11-05
ORD-86448,CUST-4378,India,Office,29,153.22,USD,DISC92,2024-02-15
ORD-15707,CUST-1358,India,Electronics,44,171.14,USD,,
ORD-39194,CUST-2549,Europe,Fashion,39,398.22,USD,,2024-07-03
ORD-41713,CUST-1051,Europe,Electronics,28,50.71,USD,,13/04/2023
ORD-85342,CUST-2467,Europe,Electronics,1,313.57,USD,DISC71,2024-01-04
ORD-23271,CUST-3424,India,Electronics,44,159.1,USD,,2024-04-14
ORD-60952,CUST-3203,ASEAN,Electronics,21,425.64,USD,,2024-08-16
ORD-55774,CUST-4472,ASEAN,Fashion,16,140.14,USD,DISC98,2023-06-09
ORD-28889,CUST-2267,India,Home & Kitchen,44,20.33,USD,DISC81,03/09/2023
ORD-31241,CUST-1927,Europe,Fashion,37,137.18,EUR,,1/15/2023
ORD-25546,CUST-3927,Europe,Home & Kitchen,15,,USD,,04/04/2024
ORD-37825,CUST-2325,ASEAN,Electronics,13,309.21,USD,DISC41,2024-07-16
ORD-36931,CUST-3052,India,Electronics,20,275.22,USD,,10/01/2023
ORD-68972,CUST-3435,Europe,Fashion,22,406.68,EUR,DISC78,2023-06-13
ORD-83986,CUST-3864,India,Office,2,331.88,USD,,Unknown
ORD-11102,CUST-3032,India,fashion,44,447.55,INR,,2023-02-02
ORD-75165,CUST-3288,India,Fashion,9,392.79,USD,,10/14/2024
ORD-79424,CUST-1717,ASEAN,Electronics,25,71.71,USD,,2024-01-04
ORD-41842,CUST-4944,ASEAN,Electronics,43,272.16,USD,,
ORD-84747,CUST-2716,ASEAN,Home & Kitchen,10,153.09,USD,,2024-08-04
ORD-85323,CUST-4257,ASEAN,Electronics,25,46.38,USD,,2023-03-22
ORD-46647,CUST-2429,ASEAN,Electronics,14,191.88,USD,,2023-07-07
ORD-28956,CUST-2502,Europe,Home & Kitchen,16,183.64,USD,DISC79,2023-05-14
ORD-20912,CUST-3136,India,Home & Kitchen ,40,376.96,USD,,2023-09-14
ORD-67390,CUST-1532,India,Electronics,15,477.02,INR,,28/02/2024
ORD-16858,CUST-1001,Europe,Office,48,314.55,EUR,,Unknown
ORD-99165,CUST-2573,India,Industrial,17,341.47,USD,,2023-08-14
ORD-52235,CUST-3339,Europe,Office,18,293.94,USD,,10/04/2024
ORD-91823,CUST-2762,Europe,office supplies,16,408.46,USD,,2023-09-15
ORD-69075,CUST-2255,Europe,Electronics,2,189.68,USD,,3/3/2024
ORD-66507,CUST-1820,Europe,Home & Kitchen,20,282.81,USD,DISC92,
ORD-27540,CUST-3438,India ,Home & Kitchen,1,225.42,USD,,Unknown
ORD-95677,CUST-4101,ASEAN,Fashion,14,469.55,USD,,01/10/2024
ORD-87698,CUST-3907,India,Fashion,36,250.23,USD,,2023-10-16
ORD-67746,CUST-4425,Europe,Office,36,141.0,USD,,8/6/2023
ORD-39149,CUST-1638,ASEAN,Home & Kitchen,32,93.98,USD,DISC51,2023-03-23
ORD-47492,CUST-3652,India,Industrial ,25,95.98,USD,,2023-02-08
ORD-59178,CUST-2116,India,Industrial,39,,INR,,2023-03-05
ORD-43532,CUST-4648,Europe,fashion ,35,251.95,USD,DISC69,2023-05-07
ORD-91105,CUST-1062,ASEAN,Electronics,3,227.78,USD,,2023-08-24
ORD-98345,CUST-1035,Europe,H&K,1,69.02,EUR,DISC35,2023-01-07
ORD-61197,CUST-3065,ASEAN,Industrial,19,263.55,USD,,24/05/2023
ORD-16624,CUST-4999,ASEAN,Fashion,48,208.56,USD,,04/08/2024
ORD-11258,CUST-3305,ASEAN ,Industrial,39,247.41,USD,,2023-12-28
ORD-90254,CUST-2768,India,Home & Kitchen,17,401.73,INR,,Unknown
ORD-26150,CUST-3158,Europe,Home & Kitchen,26,394.18,EUR,,2024-11-17
ORD-42528,CUST-2900,India,Electronics,9,157.61,INR,,2024-02-22
ORD-73849,CUST-3547,ASEAN,Fashion,28,428.42,USD,,19/11/2023
ORD-84264,CUST-3973,Europe,Office,23,224.94,USD,,12/24/2023
ORD-76415,CUST-3683,Europe,Electronics,19,33.69,USD,,2023-11-19
ORD-13091,CUST-4701,ASEAN,Electronics,28,90.21,USD,,2023-08-16
ORD-41873,CUST-3757,India,Office,2,,INR,,2024-05-05
ORD-52818,CUST-3693,India,Office,28,226.05,USD,,2024-10-19
ORD-74382,CUST-3285,India,Electronics,12,229.7,USD,DISC41,23/01/2024
ORD-51477,CUST-3150,India,Electronics,16,93.44,USD,,2023-09-01
ORD-98572,CUST-4924,ASEAN,Industrial,41,231.27,USD,,2024-05-23
ORD-38009,CUST-1285,ASEAN,Home & Kitchen,22,88.37,USD,,2024-11-09
ORD-22174,CUST-1882,India,Electronics,44,435.81,INR,,2023-09-05
ORD-63677,CUST-3306,Europe,Office ,20,314.31,USD,,2023-12-19
ORD-58488,CUST-3002,India,Elec,1,439.43,USD,,11/17/2024
ORD-56706,CUST-2642,Europe,Electronics,21,428.01,USD,,2023-07-27
ORD-12938,CUST-2253,Europe,Office,47,391.45,USD,DISC93,2023-06-28
ORD-80666,CUST-3167,India,Home & Kitchen,34,,INR,,2024-08-15
ORD-77898,CUST-1324,India,Electronics,10,220.35,USD,,Unknown
ORD-17449,CUST-3770,Europe,Home & Kitchen,25,175.23,USD,,20/05/2023
ORD-68963,CUST-3128,ASEAN,H&K,24,126.82,USD,,10/11/2024
ORD-51687,CUST-2216,Europe,Home & Kitchen,11,127.58,USD,,
ORD-55401,CUST-1414,Europe,Fashion,33,176.75,USD,,2023-09-04
ORD-23338,CUST-2792,ASEAN,Office,36,,USD,,2023-06-11
ORD-77187,CUST-4965,ASEAN,Electronics,29,194.06,USD,DISC50,2023-02-06
ORD-40163,CUST-4974,India,Electronics,32,71.63,USD,,2024-03-19
ORD-11774,CUST-4439,India,Electronics,8,292.88,USD,,2024-03-14
ORD-18377,CUST-4332,India,Fashion,35,340.76,USD,,2023-08-20
ORD-60279,CUST-3628,ASEAN,Home & Kitchen ,39,481.04,USD,,2024-03-22
ORD-40452,CUST-3993,ASEAN,Office,44,152.08,USD,,2023-07-01
ORD-16750,CUST-4706,India,Fash.,20,191.23,INR,,2024-01-20
ORD-42669,CUST-1774,ASEAN,Electronics,3,418.51,USD,DISC49,2024-02-14
ORD-44157,CUST-2723,Europe,Home & Kitchen,34,482.41,EUR,,2023-12-29
ORD-18372,CUST-2244,India,Home & Kitchen,25,,USD,,2024-02-12
ORD-39224,CUST-1619,Europe,Fashion,32,292.93,USD,DISC30,2023-03-19
ORD-19335,CUST-1424,Europe,Office,16,175.79,USD,DISC41,2024-10-26
ORD-37596,CUST-1746,Europe,Office,33,279.44,EUR,,2024-01-02
ORD-41073,CUST-4031,Europe,Fashion ,22,214.16,EUR,,2023-07-15
ORD-47569,CUST-2984,Europe,Office,27,469.03,EUR,,2023-06-29
ORD-84542,CUST-3180,Europe,Industrial,41,203.36,USD,DISC92,2023-12-03
ORD-38555,CUST-4829,ASEAN,Electronics,42,44.86,USD,,10/09/2023
ORD-30486,CUST-1532,ASEAN,Fashion,2,96.12,USD,,2/2/2023
ORD-48240,CUST-3326,Europe,Fashion,49,33.45,USD,,2024-03-16
ORD-90803,CUST-3189,India,Elec,2,420.73,USD,,19/08/2023
ORD-18311,CUST-4751,ASEAN,Home & Kitchen,16,386.93,USD,,8/25/2023
